Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,1420.5,1433.0,1386.0,1409.5,1342.150390625,1506590
2022-12-20,1402.0,1405.0,1386.5,1391.0,1324.5343017578125,1174766
2022-12-21,1396.0,1425.0,1390.0,1425.0,1356.9097900390625,1104580
2022-12-22,1425.5,1432.0,1412.5,1415.5,1347.8636474609375,1680176
2022-12-23,1420.0,1428.0,1413.5,1418.0,1350.2442626953125,330295
2022-12-28,1435.0,1437.0,1414.5,1418.5,1350.7203369140625,1184118
2022-12-29,1440.5,1440.5,1411.5,1423.0,1355.00537109375,948029
2022-12-30,1416.0,1423.5,1409.0,1409.5,1342.150390625,307126
2023-01-03,1414.0,1432.0,1411.5,1417.5,1349.76806640625,1860653
2023-01-04,1425.0,1457.0,1422.5,1447.5,1378.3345947265625,1361337
2023-01-05,1445.5,1472.5,1438.0,1459.0,1389.28515625,1137115
2023-01-06,1472.5,1498.0,1470.5,1490.0,1418.803955078125,1016160
2023-01-09,1499.5,1505.5,1480.0,1495.0,1423.56494140625,1224952
2023-01-10,1486.5,1489.5,1459.0,1472.0,1401.6639404296875,1329091
2023-01-11,1469.5,1477.0,1455.5,1472.0,1401.6639404296875,1013814
2023-01-12,1475.0,1509.5,1470.8499755859375,1507.0,1434.991455078125,895648
2023-01-13,1503.0,1506.0,1478.0,1489.5,1418.3277587890625,803261
2023-01-16,1492.5,1512.5,1486.0,1505.5,1433.563232421875,858992
2023-01-17,1501.0,1511.0,1485.4969482421875,1499.5,1427.8499755859375,1265659
2023-01-18,1502.0,1507.5,1492.0,1501.0,1429.2783203125,887656
2023-01-19,1491.5,1502.0,1469.593017578125,1482.0,1411.1861572265625,742611
2023-01-20,1492.0,1501.0,1474.0,1483.5,1412.614501953125,900407
2023-01-23,1480.5,1502.0,1479.5,1497.5,1425.945556640625,590838
2023-01-24,1500.0,1516.0,1489.27001953125,1512.5,1440.228759765625,718940
2023-01-25,1511.0,1526.0,1495.0,1508.0,1435.9437255859375,994100
2023-01-26,1517.5,1543.5,1509.0,1534.0,1460.701416015625,1426204
2023-01-27,1544.5,1550.5,1525.0,1532.5,1459.2730712890625,1502080
2023-01-30,1524.5,1545.0,1520.5,1540.5,1466.890869140625,810580
2023-01-31,1531.5,1531.5,1500.5,1523.0,1450.22705078125,2494455
2023-02-01,1530.0,1573.0,1530.0,1546.0,1472.1280517578125,1831287
2023-02-02,1554.5,1587.5,1552.0,1584.5,1508.788330078125,1535646
2023-02-03,1582.0,1601.0,1570.0,1601.0,1524.5,833398
2023-02-06,1586.0,1596.5,1573.5,1581.5,1505.9317626953125,4838036
2023-02-07,1576.5,1584.0,1551.5,1556.0,1481.6502685546875,941168
2023-02-08,1557.5,1563.0,1517.5,1520.5,1447.846435546875,1789785
2023-02-09,1531.5,1531.5,1502.0,1502.0,1430.23046875,1431309
2023-02-10,1501.0,1506.5,1454.5,1457.5,1387.8568115234375,2009656
2023-02-13,1463.0,1480.5,1461.0,1477.0,1406.425048828125,821848
2023-02-14,1479.5,1502.0,1476.5,1479.0,1408.3294677734375,1552964
2023-02-15,1482.0,1493.0,1473.5,1486.5,1415.4710693359375,1397588
2023-02-16,1493.5,1503.5,1476.5,1489.5,1418.3277587890625,674385
2023-02-17,1478.0,1501.0,1471.5,1494.5,1423.0888671875,1458146
2023-02-20,1502.0,1502.0,1474.5,1478.0,1407.3773193359375,3085532
2023-02-21,1473.5,1482.5,1460.5,1465.5,1395.4744873046875,1447538
2023-02-22,1455.5,1480.5,1443.5,1477.5,1406.901123046875,2209886
2023-02-23,1433.0,1433.0,1365.0999755859375,1406.5,1339.293701171875,5101856
2023-02-24,1406.5,1442.5,1398.5,1407.5,1340.2459716796875,1570144
2023-02-27,1411.0,1423.0,1407.0,1417.0,1349.2919921875,1452422
2023-02-28,1384.5,1408.5,1380.0,1396.5,1329.771484375,2589417
2023-03-01,1405.0,1438.0,1398.0,1426.0,1357.8619384765625,1335413
2023-03-02,1413.0,1430.0,1407.0,1416.5,1348.81591796875,1177966
2023-03-03,1421.0,1430.5,1414.0,1420.5,1352.624755859375,604528
2023-03-06,1418.0,1418.0,1388.0,1398.0,1331.1998291015625,1062112
2023-03-07,1393.0,1404.0,1376.0,1383.5,1317.3927001953125,1003953
2023-03-08,1375.0,1406.0,1369.77001953125,1400.5,1333.5804443359375,843109
2023-03-09,1399.0,1399.0,1358.0,1364.0,1298.824462890625,1133305
2023-03-10,1341.5,1353.0,1326.0,1334.5,1270.7340087890625,1459557
2023-03-13,1344.5,1344.5,1301.0,1318.5,1255.49853515625,1428706
2023-03-14,1301.5,1333.0,1301.5,1333.0,1269.3056640625,1517759
2023-03-15,1330.5,1333.0,1283.0,1287.0,1225.5037841796875,1284963
2023-03-16,1305.5,1306.5,1281.0,1302.0,1239.7869873046875,1523371
2023-03-17,1309.5,1322.0,1265.0,1266.0,1205.5072021484375,3255472
2023-03-20,1255.5,1307.5,1244.5,1299.0,1236.930419921875,1435879
2023-03-21,1309.0,1324.0,1306.5,1314.5,1251.689697265625,1164880
2023-03-22,1313.0,1314.5,1293.5,1308.0,1245.5003662109375,1127750
2023-03-23,1308.5,1314.125,1285.5,1301.0,1238.8348388671875,2004918
2023-03-24,1297.5,1300.0,1268.0,1289.0,1227.408203125,873204
2023-03-27,1302.5,1302.5,1285.0,1295.0,1233.1214599609375,1477928
2023-03-28,1305.5,1319.0,1298.5,1309.5,1246.9287109375,1490020
2023-03-29,1307.0,1311.5,1292.0,1304.5,1242.1676025390625,995316
2023-03-30,1266.0,1288.5,1262.0,1283.5,1263.44287109375,1142347
2023-03-31,1286.0,1287.5,1272.0,1282.0,1261.96630859375,2277581
2023-04-03,1290.0,1295.0,1278.0,1290.0,1269.84130859375,1513899
2023-04-04,1299.5,1310.0,1288.5,1290.0,1269.84130859375,1830627
